Date,Close,High,Low,Open,Volume
2023-06-13,69023.71875,69215.4513,68640.25365,68736.11992,13227285
2023-06-14,68927.85938,69215.45823,68160.92909,69119.59195,12541046
2023-06-15,68544.38281,69311.31297,68352.65027,69119.58043,13614994
2023-06-16,68831.98438,68927.85065,67969.18791,68831.98438,15373696
2023-06-19,68256.78125,68736.11258,67969.18245,68352.64752,11100887
2023-06-20,68448.52344,68448.52344,67489.86064,67777.45948,11557883
2023-06-21,67585.71875,68256.78262,67489.85248,67777.45129,10626603
2023-06-22,68352.65625,68544.38881,67202.26091,67298.12719,11411007
2023-06-23,68640.25781,69215.4555,68640.25781,69023.72294,12329484
2023-06-26,69407.17969,69503.04596,68544.38325,68736.1158,10541901
2023-06-27,69598.90625,69598.90625,69023.70868,69503.03999,9442997
2023-06-28,69694.78125,69694.78125,69023.71733,69598.91498,8783093
2023-06-29,69753.54688,70716.99366,69753.54688,70427.95962,12229967
2023-06-30,69560.86719,70042.59064,69079.14373,69849.90126,11694765
2023-07-03,70331.61719,70524.30655,69946.23846,70042.58314,10722181
2023-07-04,70331.61719,70909.68527,70235.27251,70716.99591,10214350
2023-07-05,69368.17188,70620.65276,69271.82719,70331.61871,12310610
2023-07-06,68982.78125,69753.53858,68886.43658,69271.81525,14777667
2023-07-07,67344.9375,68790.10783,67248.59281,68501.07377,17308877
2023-07-10,66959.5625,67826.66475,66670.52842,67441.28597,11713926
2023-07-11,68886.44531,68886.44531,67537.61981,67633.96449,12177392
2023-07-12,69271.83594,69368.18063,68501.07837,68597.42307,10375581
2023-07-13,69271.83594,69946.2488,69271.83594,69753.55941,14417279
2023-07-14,70717,70717,69753.55313,69849.89782,15882519
2023-07-17,70620.65625,70813.34563,70138.93281,70524.31156,10060049
2023-07-18,69368.17188,70813.34212,69368.17188,70524.30807,11697900
2023-07-19,69079.14844,70138.94012,68693.76965,70042.59542,10896412
2023-07-20,68404.71875,68886.44212,68212.0294,68501.06342,9732730
2023-07-21,67730.3125,67826.65718,66863.21035,67826.65718,16528926
2023-07-24,67826.66406,68308.38753,67344.9406,67537.62998,13418597
2023-07-25,67441.26563,67922.98895,67248.57629,67441.26563,14314945
2023-07-26,67248.59375,68019.35127,65610.73402,67248.59375,30016221
2023-07-27,69079.14844,69079.14844,66766.87569,67344.94387,24261179
2023-07-28,68019.33594,69753.53997,67537.6126,69175.47196,19420683
2023-07-31,67248.59375,68404.73003,67248.59375,68308.38534,13035420
2023-08-01,68501.07031,68597.415,67441.27879,67537.62347,12299254
2023-08-02,67344.9375,68404.72908,67248.59281,68115.69501,13835020
2023-08-03,66285.14844,67633.97413,65996.11436,67344.94005,20087090
2023-08-04,65803.41406,66574.17147,65707.06939,66285.13745,12360193
2023-08-07,65996.10156,66670.51428,65128.9995,65225.34417,10968505
2023-08-08,65129.00391,66574.17411,64936.31455,66477.82943,14664709
2023-08-09,66381.49219,67055.90503,65418.04528,65514.38997,17259673
2023-08-10,65514.38281,65996.10622,65321.69345,65803.41685,10227311
2023-08-11,65032.65625,66285.13704,65032.65625,65899.75833,9781038
2023-08-14,64839.96875,65418.03682,64454.59004,65032.65811,9352343
2023-08-16,64550.93359,64647.27827,63876.52085,64261.89956,13174578
2023-08-17,64261.90625,64358.25094,63587.49344,63876.5275,10778652
2023-08-18,63876.52344,64261.90216,63394.80003,63587.48939,11745006
2023-08-21,64165.55859,64647.28201,63876.52455,64165.55859,9720067
2023-08-22,64165.55859,65225.3501,63876.52455,64743.62669,10500242
2023-08-23,64647.28906,64647.28906,63972.87621,64261.91029,9549352
2023-08-24,65707.07813,66188.80157,65418.04406,65803.42281,15044463
